193.138.219.241 1301 udp se6.mullvad.net se aes256
193.138.219.241 1302 udp se6.mullvad.net se aes256
193.138.219.241 1302 udp se6.mullvad.net se aes256
193.138.219.241 1197 udp se6.mullvad.net se aes256
193.138.219.241 1197 udp se6.mullvad.net se aes256
185.65.132.104 1194 udp se7.mullvad.net se bf128
185.65.132.104 1195 udp se7.mullvad.net se bf128
185.65.132.104 1196 udp se7.mullvad.net se bf128
185.65.132.104 80 tcp se7.mullvad.net se bf128
185.65.132.104 443 tcp se7.mullvad.net se bf128
185.65.132.104 1300 udp se7.mullvad.net se aes256
185.65.132.104 1301 udp se7.mullvad.net se aes256
185.65.132.104 1301 udp se7.mullvad.net se aes256
185.65.132.104 1302 udp se7.mullvad.net se aes256
185.65.132.104 1302 udp se7.mullvad.net se aes256
185.65.132.104 1197 udp se7.mullvad.net se aes256
185.65.132.104 1197 udp se7.mullvad.net se aes256
185.65.132.104 1301 udp se7.mullvad.net se aes256
185.65.132.104 1301 udp se7.mullvad.net se aes256
185.65.132.104 1302 udp se7.mullvad.net se aes256
185.65.132.104 1302 udp se7.mullvad.net se aes256
185.65.132.104 1197 udp se7.mullvad.net se aes256
185.65.132.104 1197 udp se7.mullvad.net se aes256
185.65.132.99 1194 udp se8.mullvad.net se bf128
185.65.132.99 1195 udp se8.mullvad.net se bf128
185.65.132.99 1196 udp se8.mullvad.net se bf128
185.65.132.99 80 tcp se8.mullvad.net se bf128
185.65.132.99 443 tcp se8.mullvad.net se bf128
185.65.132.99 1300 udp se8.mullvad.net se aes256
185.65.132.99 1301 udp se8.mullvad.net se aes256
185.65.132.99 1301 udp se8.mullvad.net se aes256
185.65.132.99 1302 udp se8.mullvad.net se aes256
185.65.132.99 1302 udp se8.mullvad.net se aes256
185.65.132.99 1197 udp se8.mullvad.net se aes256
185.65.132.99 1197 udp se8.mullvad.net se aes256
185.65.132.99 1301 udp se8.mullvad.net se aes256
185.65.132.99 1301 udp se8.mullvad.net se aes256
185.65.132.99 1302 udp se8.mullvad.net se aes256
185.65.132.99 1302 udp se8.mullvad.net se aes256
185.65.132.99 1197 udp se8.mullvad.net se aes256
185.65.132.99 1197 udp se8.mullvad.net se aes256
185.65.132.105 1194 udp se9.mullvad.net se bf128
185.65.132.105 1195 udp se9.mullvad.net se bf128
185.65.132.105 1196 udp se9.mullvad.net se bf128
185.65.132.105 80 tcp se9.mullvad.net se bf128
185.65.132.105 443 tcp se9.mullvad.net se bf128
185.65.132.105 1300 udp se9.mullvad.net se aes256
185.65.132.105 1301 udp se9.mullvad.net se aes256
185.65.132.105 1301 udp se9.mullvad.net se aes256
185.65.132.105 1302 udp se9.mullvad.net se aes256
185.65.132.105 1302 udp se9.mullvad.net se aes256
185.65.132.105 1197 udp se9.mullvad.net se aes256
185.65.132.105 1197 udp se9.mullvad.net se aes256
185.65.132.105 1301 udp se9.mullvad.net se aes256
185.65.132.105 1301 udp se9.mullvad.net se aes256
185.65.132.105 1302 udp se9.mullvad.net se aes256
185.65.132.105 1302 udp se9.mullvad.net se aes256
185.65.132.105 1197 udp se9.mullvad.net se aes256
